"id","light","temp","date_birth","date_death","May_09_2013","May_10_2013","May_11_2013","May_12_2013","May_13_2013","May_14_2013","May_15_2013","May_16_2013","May_17_2013","May_18_2013","May_19_2013","May_20_2013","May_21_2013","May_22_2013","May_23_2013","May_24_2013","May_25_2013","May_26_2013","May_27_2013","May_28_2013","May_29_2013","May_30_2013","May_31_2013","Jun_01_2013","Jun_02_2013","Jun_03_2013","Jun_04_2013","Jun_05_2013","Jun_06_2013","Jun_07_2013","Jun_08_2013","Jun_09_2013","Jun_10_2013","Jun_11_2013","Jun_12_2013","Jun_13_2013","Jun_14_2013","Jun_15_2013","Jun_16_2013","Jun_17_2013","Jun_18_2013","Jun_19_2013","Jun_20_2013","Jun_21_2013","Jun_22_2013","Jun_23_2013"
"AF001","dim","cold","May_11_2013","Jun_12_2013",0,0,0,0,1,0,1,1,"0","1","0","1","0","0","1","0","0","0","2","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF003","bright","cold","May_10_2013","Jun_11_2013",0,0,0,0,1,1,0,1,"0","1","1","0","0","1","0","1","0","1","0","1","0","0","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF004","bright","cold","May_11_2013","Jun_10_2013",0,0,0,0,1,0,1,1,"0","1","1","0","0","1","0","1","1","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF005","bright","cold","May_10_2013","Jun_07_2013",0,0,0,0,1,1,0,1,"0","1","1","1","0","0","1","0","1","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF006","dim","cold","May_11_2013","Jun_16_2013",0,0,0,1,0,0,1,1,"0","0","1","1","0","0","0","0","1","0","0","1","0","2","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF007","bright","cold","May_10_2013","Jun_11_2013",0,0,0,0,0,1,1,0,"1","1","1","0","0","1","0","0","2","0","0","1","0","1","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF008","bright","cold","May_12_2013","Jun_12_2013",0,0,0,0,1,1,0,1,"0","1","1","0","0","0","1","1","0","0","1","1","0","1","0","2","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"AF009","dim","cold","May_10_2013","Jun_11_2013",0,0,0,0,1,0,1,0,"2","0","1","0","0","1","0","0","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF010","dim","cold","May_11_2013","Jun_16_2013",0,0,0,1,0,0,1,0,"0","1","1","1","0","0","1","0","1","0","0","1","0","1","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF011","dim","cold","May_10_2013","Jun_11_2013",0,0,0,0,0,1,0,1,"0","1","1","0","1","0","0","1","0","0","0","2","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF012","bright","cold","May_11_2013",NA,0,0,0,0,0,1,1,1,"0","0","1","1","0","0","1","0","1","1","0","0","0","1","1","0","2","0","0","0","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM"
"AF013","dim","cold","May_10_2013","Jun_11_2013",0,0,1,0,1,0,0,1,"1","0","1","1","0","0","1","0","1","0","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF014","bright","cold","May_10_2013","Jun_14_2013",0,0,0,1,1,0,1,1,"0","1","1","0","0","1","0","1","0","1","0","1","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"AF015","dim","cold","May_10_2013","Jun_06_2013",0,0,0,1,1,0,1,1,"0","0","1","0","1","0","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF017","dim","cold","May_11_2013",NA,0,0,0,0,1,1,0,0,"2","0","1","0","0","0","1","0","1","0","1","0","0","0","2","0","0","1","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM"
"AF020","bright","cold","May_11_2013","Jun_14_2013",0,0,0,0,1,1,0,0,"1","1","1","0","1","0","0","1","0","1","0","2","0","0","0","1","0","0","1","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"AF021","dim","cold","May_10_2013","Jun_11_2013",0,0,0,0,2,0,0,0,"1","0","1","1","0","1","0","1","0","0","0","2","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF022","bright","cold","May_12_2013","Jun_10_2013",0,0,0,0,0,1,1,0,"1","0","1","1","0","0","1","1","0","1","1","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF023","bright","cold","May_11_2013","Jun_07_2013",0,0,0,0,0,1,1,0,"1","0","1","1","0","0","1","0","1","1","0","0","0","0","2","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF024","bright","cold","May_10_2013","Jun_11_2013",0,0,0,0,1,1,0,1,"0","1","1","0","1","0","0","1","1","0","0","1","0","1","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF025","bright","hot","May_11_2013","Jun_07_2013",0,0,0,0,1,1,1,1,"0","1","0","1","0","1","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF026","dim","hot","May_10_2013","Jun_07_2013",0,0,0,1,1,0,0,1,"1","1","0","1","0","1","0","1","0","1","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF028","dim","hot","May_12_2013","Jun_05_2013",0,0,0,0,0,1,1,1,"1","0","0","1","1","0","1","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF029","bright","hot","May_11_2013","Jun_14_2013",0,0,0,0,1,1,1,0,"1","1","0","1","1","0","1","1","0","0","0","2","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF030","dim","hot","May_11_2013","Jun_05_2013",0,0,0,1,1,1,0,0,"1","0","1","0","1","0","0","1","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF032","dim","hot","May_10_2013","Jun_03_2013",0,0,0,1,0,1,1,1,"1","0","0","0","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF033","bright","hot","May_11_2013","Jun_11_2013",0,0,0,0,1,1,1,0,"1","0","1","0","1","0","2","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF034","dim","hot","May_11_2013","Jun_11_2013",0,0,0,0,1,1,1,1,"0","1","0","1","0","1","0","1","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF035","bright","hot","May_10_2013","Jun_05_2013",0,0,0,1,1,0,1,1,"1","0","1","0","1","0","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF036","dim","hot","May_11_2013","Jun_10_2013",0,0,0,1,1,0,1,1,"0","0","2","0","0","1","1","0","1","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF037","dim","hot","May_10_2013","Jun_11_2013",0,0,0,1,0,1,0,2,"0","0","1","1","0","0","1","0","1","1","0","0","0","1","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF038","dim","hot","May_11_2013",NA,0,0,0,1,1,1,1,0,"1","0","1","0","1","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM"
"AF039","bright","hot","May_11_2013",NA,0,0,0,0,2,1,0,1,"0","1","0","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM"
"AF041","dim","hot","May_12_2013","Jun_10_2013",0,0,0,0,0,1,2,0,"1","0","0","1","0","0","1","2","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF042","bright","hot","May_10_2013",NA,0,0,0,2,0,0,1,1,"1","1","1","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM"
"AF043","dim","hot","May_12_2013",NA,0,0,0,0,0,1,2,1,"0","0","1","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM"
"AF045","dim","hot","May_11_2013",NA,0,0,0,0,1,1,1,1,"0","1","0","1","0","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM"
"AF046","bright","hot","May_12_2013",NA,0,0,0,0,1,1,1,1,"0","0","1","0","0","0","3","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM"
"AF047","bright","hot","May_12_2013",NA,0,0,0,0,1,1,1,1,"0","0","2","0","0","0","2","0","0","0","2","0","0","1","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM"
"AF048","bright","hot","May_12_2013","Jun_10_2013",0,0,0,0,1,0,2,1,"0","0","1","1","0","1","1","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF049","bright","cold","May_12_2013","Jun_14_2013",0,0,0,0,0,1,0,1,"1","0","1","1","1","0","0","1","1","0","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF050","dim","cold","May_11_2013","Jun_23_2013",0,0,0,0,0,0,1,1,"0","0","1","1","0","1","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"AF051","dim","cold","May_10_2013","Jun_07_2013",0,0,0,0,1,0,1,0,"1","1","0","1","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF052","dim","cold","May_10_2013","Jun_21_2013",0,0,0,0,1,0,1,0,"0","2","0","1","0","1","0","1","0","0","0","1","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"AF053","bright","cold","May_11_2013","Jun_11_2013",0,0,0,0,0,0,2,0,"1","0","1","1","0","1","0","0","1","1","0","0","1","0","1","0","2","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF054","dim","cold","May_12_2013","Jun_17_2013",0,0,0,0,0,1,0,1,"0","1","0","1","1","0","0","0","1","0","0","1","0","1","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF055","dim","cold","May_11_2013","Jun_21_2013",0,0,0,0,0,0,1,0,"1","0","1","0","1","0","1","0","1","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0"
"AF057","bright","cold","May_11_2013",NA,0,0,0,0,1,0,1,0,"1","1","0","1","0","0","0","1","1","0","0","1","1","0","1","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM"
"AF058","bright","cold","May_12_2013","Jun_06_2013",0,0,0,0,0,1,1,0,"0","1","1","0","1","0","0","0","1","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF060","dim","cold","May_12_2013",NA,0,0,0,0,0,1,0,1,"0","1","0","1","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM"
"AF061","bright","cold","May_13_2013",NA,0,0,0,0,0,0,0,1,"0","1","0","1","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM"
"AF062","bright","cold","May_12_2013","Jun_11_2013",0,0,0,0,0,0,2,0,"1","0","1","1","0","0","1","0","1","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF063","bright","cold","May_10_2013","Jun_11_2013",0,0,0,0,1,1,0,1,"1","0","1","0","1","0","0","1","1","0","0","1","0","0","1","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF064","dim","cold","May_10_2013","Jun_19_2013",0,0,1,0,0,1,0,1,"1","0","1","0","1","0","0","1","0","1","0","1","0","0","0","1","1","0","1","0","0","1","0","1","0","0","0","2","0","0","1","0","0","0","0","0","0","0"
"AF065","bright","cold","May_11_2013",NA,0,0,0,0,1,0,1,0,"1","1","0","1","0","2","0","0","1","0","0","1","0","0","2","0","1","0","0","0","0","1","1","0","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM"
"AF066","bright","cold","May_12_2013","Jun_10_2013",0,0,0,0,0,1,1,0,"1","0","1","1","0","0","1","1","0","0","1","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF067","bright","cold","May_10_2013",NA,0,0,0,0,0,1,1,0,"0","1","1","1","0","1","0","1","1","0","1","0","1","0","0","0","1","0","0","0","0","1","0","0","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM"
"AF068","bright","cold","May_12_2013","Jun_05_2013",0,0,0,0,1,0,1,1,"0","0","1","1","1","0","0","1","1","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF069","dim","cold","May_11_2013","Jun_14_2013",0,0,0,2,0,1,0,0,"1","0","1","0","1","0","0","1","0","1","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF070","dim","cold","May_11_2013","Jun_11_2013",0,0,0,1,0,1,0,1,"0","1","0","1","0","1","0","1","0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF071","dim","cold","May_11_2013","Jun_06_2013",0,0,0,1,0,0,1,0,"1","0","0","0","1","1","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF072","dim","cold","May_10_2013","Jun_10_2013",0,0,1,0,0,1,0,0,"1","1","0","1","0","1","1","0","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF073","bright","hot","May_11_2013","Jun_05_2013",0,0,0,0,2,1,0,1,"0","1","1","0","1","0","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF074","bright","hot","May_11_2013","Jun_10_2013",0,0,0,0,2,1,1,0,"1","0","1","0","1","1","0","0","2","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
