"id","light","temp","date_birth","date_death","May_09_2013","May_10_2013","May_11_2013","May_12_2013","May_13_2013","May_14_2013","May_15_2013","May_16_2013","May_17_2013","May_18_2013","May_19_2013","May_20_2013","May_21_2013","May_22_2013","May_23_2013","May_24_2013","May_25_2013","May_26_2013","May_27_2013","May_28_2013","May_29_2013","May_30_2013","May_31_2013","Jun_01_2013","Jun_02_2013","Jun_03_2013","Jun_04_2013","Jun_05_2013","Jun_06_2013","Jun_07_2013","Jun_08_2013","Jun_09_2013","Jun_10_2013","Jun_11_2013","Jun_12_2013","Jun_13_2013","Jun_14_2013","Jun_15_2013","Jun_16_2013","Jun_17_2013","Jun_18_2013","Jun_19_2013","Jun_20_2013","Jun_21_2013","Jun_22_2013","Jun_23_2013"
"AF075","dim","hot","May_11_2013","Jun_10_2013",0,0,0,0,2,1,1,0,"0","1","1","0","0","1","1","0","2","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF076","bright","hot","May_12_2013","Jun_03_2013",0,0,0,0,1,1,1,0,"0","1","0","1","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF077","bright","hot","May_10_2013","Jun_04_2013",0,0,0,2,1,1,0,1,"0","1","0","1","1","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF078","dim","hot","May_11_2013","Jun_14_2013",0,0,0,0,2,1,0,1,"0","1","1","0","0","1","0","1","1","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF080","bright","hot","May_12_2013","Jun_10_2013",0,0,0,0,0,1,2,1,"0","1","0","1","0","1","1","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF081","bright","hot","May_12_2013","Jun_07_2013",0,0,0,0,0,1,1,1,"1","0","1","0","1","0","1","0","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF082","bright","hot","May_11_2013","Jun_07_2013",0,0,0,1,2,1,0,0,"1","1","1","0","1","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF083","dim","hot","May_12_2013","Jun_04_2013",0,0,0,0,1,1,1,0,"1","0","1","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF084","bright","hot","May_12_2013",NA,0,0,0,0,0,2,1,0,"1","1","0","1","0","1","0","1","1","0","1","0","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM"
"AF085","bright","hot","May_12_2013","Jun_03_2013",0,0,0,0,0,2,0,1,"1","0","1","0","1","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF086","dim","hot","May_11_2013","Jun_04_2013",0,0,0,0,2,0,1,0,"1","1","0","1","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF087","dim","hot","May_11_2013","Jun_07_2013",0,0,0,1,1,1,0,1,"0","1","0","0","0","2","0","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF088","bright","hot","May_11_2013","Jun_07_2013",0,0,0,0,2,1,0,1,"0","1","1","0","1","0","1","0","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF089","bright","hot","May_10_2013","Jun_06_2013",0,0,0,1,2,1,0,0,"1","1","0","0","1","1","0","0","2","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF090","dim","hot","May_11_2013","Jun_11_2013",0,0,0,0,1,2,0,0,"0","2","0","0","0","2","0","1","1","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF091","dim","hot","May_10_2013","Jun_04_2013",0,0,0,1,0,1,0,1,"1","1","0","1","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF092","bright","hot","May_12_2013","Jun_07_2013",0,0,0,0,0,2,1,0,"1","0","1","0","1","1","0","0","1","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF093","dim","hot","May_11_2013","Jun_06_2013",0,0,0,0,2,1,0,0,"0","1","1","0","1","0","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF094","dim","hot","May_12_2013","Jun_10_2013",0,0,0,0,1,1,0,1,"0","1","1","0","1","0","1","0","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF095","dim","hot","May_12_2013",NA,0,0,0,0,0,1,2,0,"0","1","1","0","0","0","2","0","1","1","0","0","1","0","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM"
"AF096","dim","hot","May_11_2013","Jun_10_2013",0,0,0,0,1,1,1,0,"1","0","1","1","0","1","0","0","2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF097","bright","hot","May_11_2013","Jun_03_2013",0,0,0,0,2,1,1,0,"0","1","1","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF098","bright","hot","May_12_2013","Jun_10_2013",0,0,0,0,0,2,1,0,"0","0","1","1","0","2","0","0","1","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF099","bright","hot","May_10_2013","Jun_06_2013",0,0,0,2,0,1,0,1,"1","0","1","0","1","1","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF100","bright","hot","May_10_2013","Jun_05_2013",0,0,0,2,1,1,0,1,"0","1","1","0","1","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF101","dim","hot","May_10_2013",NA,0,0,0,0,1,1,1,1,"0","1","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM"
"AF102","dim","hot","May_10_2013",NA,0,0,0,2,0,1,1,0,"1","0","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM"
"AF104","bright","hot","May_11_2013","Jun_05_2013",0,0,0,0,1,2,1,0,"0","1","1","1","0","1","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF105","bright","hot","May_12_2013","Jun_03_2013",0,0,0,0,0,2,1,0,"0","1","1","0","2","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF106","dim","hot","May_10_2013","Jun_10_2013",0,0,1,0,1,2,0,0,"1","1","0","0","1","1","0","1","0","0","1","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF107","bright","hot","May_11_2013","Jun_06_2013",0,0,0,0,1,2,0,1,"0","1","1","1","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF108","dim","hot","May_11_2013","Jun_05_2013",0,0,0,0,1,1,2,0,"0","1","1","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF109","bright","hot","May_12_2013","Jun_10_2013",0,0,0,0,0,1,1,1,"0","1","1","0","1","1","0","1","0","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF110","bright","hot","May_10_2013","Jun_06_2013",0,0,1,1,1,1,0,1,"0","1","1","0","0","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF111","dim","hot","May_11_2013","Jun_10_2013",0,0,0,0,1,0,2,1,"0","0","1","0","1","0","1","1","0","0","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF112","bright","hot","May_10_2013","Jun_03_2013",0,0,0,1,1,2,0,1,"0","1","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF114","bright","hot","May_10_2013","Jun_08_2013",0,0,0,2,0,1,1,0,"0","1","1","1","0","0","1","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF116","dim","hot","May_11_2013","Jun_11_2013",0,0,0,1,0,1,2,0,"1","0","1","0","0","1","1","0","1","1","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF117","bright","hot","May_10_2013","Jun_06_2013",0,0,0,2,1,1,0,1,"0","1","1","0","1","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF119","dim","hot","May_11_2013","Jun_13_2013",0,0,0,0,0,1,2,0,"0","0","1","1","1","0","1","0","1","0","0","1","1","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF120","dim","hot","May_11_2013","Jun_03_2013",0,0,1,0,1,2,1,0,"0","1","1","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF121","dim","cold","May_10_2013","Jun_13_2013",0,0,0,0,1,1,0,0,"1","1","0","0","1","0","0","1","1","0","1","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF122","dim","cold","May_10_2013","Jun_13_2013",0,0,0,0,1,1,0,1,"0","1","0","1","1","0","0","1","0","1","0","0","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF123","bright","cold","May_13_2013",NA,0,0,0,0,1,0,1,0,"0","1","1","0","1","0","0","1","0","0","0","1","1","1","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM"
"AF124","dim","cold","May_12_2013","Jun_14_2013",0,0,0,0,0,1,1,0,"1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","2","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF125","dim","cold","May_10_2013","Jun_19_2013",0,0,1,0,0,1,0,1,"1","0","1","0","1","0","1","0","1","0","0","1","0","0","0","1","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"AF126","dim","cold","May_12_2013","Jun_18_2013",0,0,0,0,0,0,0,2,"0","0","1","1","0","0","1","0","1","0","0","0","1","0","1","0","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"AF127","bright","cold","May_12_2013",NA,0,0,0,0,0,1,0,1,"1","0","1","1","0","1","0","1","0","1","0","0","0","1","1","0","0","0","1","1","0","0","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM"
"AF128","bright","cold","May_10_2013","Jun_13_2013",0,0,0,0,1,1,0,1,"0","1","1","0","1","0","1","0","1","0","0","1","1","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF129","bright","cold","May_11_2013","Jun_06_2013",0,0,0,0,0,1,1,0,"1","0","0","1","1","0","2","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF130","bright","cold","May_10_2013",NA,0,0,0,0,1,1,0,0,"1","1","1","1","0","0","1","0","1","0","1","0","0","1","0","0","1","0","0","0","1","1","0","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM"
"AF131","bright","cold","May_12_2013",NA,0,0,0,0,0,1,0,1,"1","0","1","1","0","0","0","1","0","1","0","0","1","1","1","1","0","1","0","0","0","0","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM"
"AF132","dim","cold","May_11_2013","Jun_13_2013",0,0,0,0,1,0,1,0,"1","1","0","1","0","1","0","0","1","1","0","0","1","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF133","bright","cold","May_10_2013","Jun_18_2013",0,0,0,1,1,0,0,1,"1","0","1","1","0","1","0","1","1","0","0","1","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"AF134","dim","cold","May_11_2013","Jun_14_2013",0,0,0,0,0,1,0,1,"0","1","0","1","0","0","1","0","1","0","0","0","2","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF136","bright","cold","May_11_2013","Jun_14_2013",0,0,0,0,0,1,0,1,"1","0","1","0","1","0","0","1","1","0","0","1","0","0","0","2","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF137","dim","cold","May_13_2013","Jun_10_2013",0,0,0,0,0,1,0,1,"0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF138","bright","cold","May_11_2013","Jun_10_2013",0,0,0,0,0,0,2,0,"1","0","1","1","0","1","0","1","1","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF140","bright","cold","May_13_2013",NA,0,0,0,0,0,0,1,0,"1","0","1","0","1","0","1","1","0","0","0","1","0","0","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM","CONTAM"
"AF141","bright","cold","May_10_2013","Jun_14_2013",0,0,0,0,0,1,1,1,"0","1","1","0","1","0","0","1","1","0","0","1","1","0","0","2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF142","bright","cold","May_10_2013","Jun_13_2013",0,0,0,0,1,0,0,1,"1","1","0","0","0","1","0","1","1","0","1","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF143","dim","cold","May_11_2013","Jun_17_2013",0,0,0,0,0,2,0,0,"1","0","1","1","0","1","0","0","1","0","0","1","0","1","0","1","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF144","dim","cold","May_10_2013","Jun_10_2013",0,0,0,1,0,1,0,1,"1","0","1","0","1","0","0","0","1","0","0","1","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF145","dim","cold","May_10_2013","Jun_19_2013",0,0,0,0,0,0,2,0,"1","1","0","0","1","1","0","0","1","0","0","1","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"AF146","bright","cold","May_12_2013","Jun_06_2013",0,0,0,0,0,2,0,0,"1","0","0","1","1","0","1","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF147","dim","cold","May_10_2013","Jun_12_2013",0,0,0,0,1,1,0,0,"1","1","0","1","1","0","0","0","1","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF148","bright","cold","May_11_2013","Jun_07_2013",0,0,0,0,1,1,0,0,"2","0","1","0","1","0","0","0","1","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF149","dim","cold","May_11_2013","Jun_16_2013",0,0,0,0,1,0,1,0,"2","0","1","0","1","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF150","bright","cold","May_10_2013","Jun_12_2013",0,0,0,1,1,0,0,1,"1","1","0","0","1","0","1","0","0","1","0","1","0","0","0","2","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF151","bright","cold","May_11_2013","Jun_12_2013",0,0,0,0,0,0,1,1,"0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"AF153","bright","cold","May_13_2013","Jun_10_2013",0,0,0,0,0,0,1,0,"1","0","1","0","2","0","0","0","0","0","1","1","1","1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AF154","dim","cold","May_10_2013","Jun_13_2013",0,0,0,0,0,1,0,1,"1","1","0","0","0","1","1","0","0","0","1","0","1","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
